School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate,Official Low Year Level,Official High Year Level,Suburb,Post Code,All Student Count,Longitude,Latitude
1928,Crestmead State School,2015,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,93690.5,101961.0,91.9,Prep Year,Year 6,Crestmead,4132,1307.0,153.090452,-27.688755
1928,Crestmead State School,2016,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,102987.5,112777.0,91.3,Prep Year,Year 6,Crestmead,4132,1307.0,153.090452,-27.688755
1928,Crestmead State School,2017,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,103548.0,114894.0,90.1,Prep Year,Year 6,Crestmead,4132,1307.0,153.090452,-27.688755
1928,Crestmead State School,2018,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,112233.5,125369.0,89.5,Prep Year,Year 6,Crestmead,4132,1307.0,153.090452,-27.688755
1928,Crestmead State School,2019,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,110248.0,123566.5,89.2,Prep Year,Year 6,Crestmead,4132,1307.0,153.090452,-27.688755
293,Crow's Nest State School,2015,State School,Combined,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,28616.5,30983.0,92.4,Prep Year,Year 10,Crows Nest,4355,309.0,152.052186,-27.264826
293,Crow's Nest State School,2016,State School,Combined,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,26037.0,27912.0,93.3,Prep Year,Year 10,Crows Nest,4355,309.0,152.052186,-27.264826
293,Crow's Nest State School,2017,State School,Combined,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,24132.0,26590.5,90.8,Prep Year,Year 10,Crows Nest,4355,309.0,152.052186,-27.264826
293,Crow's Nest State School,2018,State School,Combined,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,29785.5,32941.0,90.4,Prep Year,Year 10,Crows Nest,4355,309.0,152.052186,-27.264826
293,Crow's Nest State School,2019,State School,Combined,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Condamine,28047.5,30387.5,92.3,Prep Year,Year 10,Crows Nest,4355,309.0,152.052186,-27.264826
165,Croydon State School,2015,State School,Primary,Very Remote Australia,Far North Queensland,Croydon (S),Traeger,3123.5,3500.0,89.2,Early Childhood,Year 6,Croydon,4871,29.0,142.249391,-18.203756
165,Croydon State School,2016,State School,Primary,Very Remote Australia,Far North Queensland,Croydon (S),Traeger,2788.0,3227.0,86.4,Early Childhood,Year 6,Croydon,4871,29.0,142.249391,-18.203756
165,Croydon State School,2017,State School,Primary,Very Remote Australia,Far North Queensland,Croydon (S),Traeger,3265.0,3695.0,88.4,Early Childhood,Year 6,Croydon,4871,29.0,142.249391,-18.203756
165,Croydon State School,2018,State School,Primary,Very Remote Australia,Far North Queensland,Croydon (S),Traeger,3198.5,3601.0,88.8,Early Childhood,Year 6,Croydon,4871,29.0,142.249391,-18.203756
165,Croydon State School,2019,State School,Primary,Very Remote Australia,Far North Queensland,Croydon (S),Traeger,2342.5,2703.0,86.7,Early Childhood,Year 6,Croydon,4871,29.0,142.249391,-18.203756
289,Cunnamulla P-12 State School,2015,State School,Combined,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,10649.0,12463.0,85.4,Early Childhood,Year 12,Cunnamulla,4490,120.0,145.679373,-28.071136
289,Cunnamulla P-12 State School,2016,State School,Combined,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,9483.0,10991.0,86.3,Early Childhood,Year 12,Cunnamulla,4490,120.0,145.679373,-28.071136
289,Cunnamulla P-12 State School,2017,State School,Combined,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,8577.5,10198.5,84.1,Early Childhood,Year 12,Cunnamulla,4490,120.0,145.679373,-28.071136
289,Cunnamulla P-12 State School,2018,State School,Combined,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,8803.5,10575.0,83.2,Early Childhood,Year 12,Cunnamulla,4490,120.0,145.679373,-28.071136
289,Cunnamulla P-12 State School,2019,State School,Combined,Very Remote Australia,Darling Downs South West,Paroo (S),Warrego,9357.5,11637.0,80.4,Early Childhood,Year 12,Cunnamulla,4490,120.0,145.679373,-28.071136
355,Currajong State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,52462.5,56351.0,93.1,Prep Year,Year 6,Gulliver,4812,619.0,146.77416,-19.28021
355,Currajong State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,52797.5,56958.0,92.7,Prep Year,Year 6,Gulliver,4812,619.0,146.77416,-19.28021
355,Currajong State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,49927.0,53999.5,92.5,Prep Year,Year 6,Gulliver,4812,619.0,146.77416,-19.28021
355,Currajong State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,53667.5,58778.5,91.3,Prep Year,Year 6,Gulliver,4812,619.0,146.77416,-19.28021
355,Currajong State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Mundingburra,50324.0,55184.0,91.2,Prep Year,Year 6,Gulliver,4812,619.0,146.77416,-19.28021
3054,Currimundi Special School,2015,Special School,Special,Major Cities of Australia,North Coast,Sunshine Coast (R),Caloundra,16903.5,18847.0,89.7,Prep Year,Year 12,Dicky Beach,4551,209.0,153.135987,-26.777927
3054,Currimundi Special School,2016,Special School,Special,Major Cities of Australia,North Coast,Sunshine Coast (R),Caloundra,17739.0,20017.0,88.6,Prep Year,Year 12,Dicky Beach,4551,209.0,153.135987,-26.777927
3054,Currimundi Special School,2017,Special School,Special,Major Cities of Australia,North Coast,Sunshine Coast (R),Caloundra,18454.0,20606.0,89.6,Prep Year,Year 12,Dicky Beach,4551,209.0,153.135987,-26.777927
3054,Currimundi Special School,2018,Special School,Special,Major Cities of Australia,North Coast,Sunshine Coast (R),Caloundra,18634.5,21244.0,87.7,Prep Year,Year 12,Dicky Beach,4551,209.0,153.135987,-26.777927
3054,Currimundi Special School,2019,Special School,Special,Major Cities of Australia,North Coast,Sunshine Coast (R),Caloundra,16949.5,19416.0,87.3,Prep Year,Year 12,Dicky Beach,4551,209.0,153.135987,-26.777927
1868,Currimundi State School,2015,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Kawana,52250.5,57024.0,91.6,Prep Year,Year 6,Currimundi,4551,565.0,153.135518,-26.777613
1868,Currimundi State School,2016,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Kawana,52371.5,56288.0,93.0,Prep Year,Year 6,Currimundi,4551,565.0,153.135518,-26.777613
1868,Currimundi State School,2017,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Kawana,50665.0,54500.0,93.0,Prep Year,Year 6,Currimundi,4551,565.0,153.135518,-26.777613
1868,Currimundi State School,2018,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Kawana,53869.0,58155.0,92.6,Prep Year,Year 6,Currimundi,4551,565.0,153.135518,-26.777613
1868,Currimundi State School,2019,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Kawana,50434.5,54837.0,92.0,Prep Year,Year 6,Currimundi,4551,565.0,153.135518,-26.777613
3043,Currumbin Community Special School,2015,Special School,Special,Major Cities of Australia,South East,Gold Coast (C),Currumbin,8322.0,9347.0,89.0,Prep Year,Year 12,Currumbin Waters,4223,89.0,153.472527,-28.151918
3043,Currumbin Community Special School,2016,Special School,Special,Major Cities of Australia,South East,Gold Coast (C),Currumbin,7128.5,8112.0,87.9,Prep Year,Year 12,Currumbin Waters,4223,89.0,153.472527,-28.151918
3043,Currumbin Community Special School,2017,Special School,Special,Major Cities of Australia,South East,Gold Coast (C),Currumbin,7041.5,7955.0,88.5,Prep Year,Year 12,Currumbin Waters,4223,89.0,153.472527,-28.151918
3043,Currumbin Community Special School,2018,Special School,Special,Major Cities of Australia,South East,Gold Coast (C),Currumbin,7448.5,8618.0,86.4,Prep Year,Year 12,Currumbin Waters,4223,89.0,153.472527,-28.151918
3043,Currumbin Community Special School,2019,Special School,Special,Major Cities of Australia,South East,Gold Coast (C),Currumbin,7442.0,8570.0,86.8,Prep Year,Year 12,Currumbin Waters,4223,89.0,153.472527,-28.151918
1168,Currumbin State School,2015,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,95512.5,102557.0,93.1,Prep Year,Year 6,Currumbin,4223,1127.0,153.47807,-28.137894
1168,Currumbin State School,2016,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,98005.5,105409.5,93.0,Prep Year,Year 6,Currumbin,4223,1127.0,153.47807,-28.137894
1168,Currumbin State School,2017,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,94304.5,101489.0,92.9,Prep Year,Year 6,Currumbin,4223,1127.0,153.47807,-28.137894
1168,Currumbin State School,2018,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,101180.0,108811.0,93.0,Prep Year,Year 6,Currumbin,4223,1127.0,153.47807,-28.137894
1168,Currumbin State School,2019,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Currumbin,100060.0,107818.0,92.8,Prep Year,Year 6,Currumbin,4223,1127.0,153.47807,-28.137894
775,Currumbin Valley State School,2015,State School,Primary,Inner Regional Australia,South East,Gold Coast (C),Currumbin,13561.0,14450.0,93.8,Prep Year,Year 6,Currumbin Valley,4223,163.0,153.394358,-28.206406
775,Currumbin Valley State School,2016,State School,Primary,Inner Regional Australia,South East,Gold Coast (C),Currumbin,14404.0,15316.0,94.0,Prep Year,Year 6,Currumbin Valley,4223,163.0,153.394358,-28.206406
775,Currumbin Valley State School,2017,State School,Primary,Inner Regional Australia,South East,Gold Coast (C),Currumbin,16295.5,17389.0,93.7,Prep Year,Year 6,Currumbin Valley,4223,163.0,153.394358,-28.206406
775,Currumbin Valley State School,2018,State School,Primary,Inner Regional Australia,South East,Gold Coast (C),Currumbin,15796.0,17137.0,92.2,Prep Year,Year 6,Currumbin Valley,4223,163.0,153.394358,-28.206406
775,Currumbin Valley State School,2019,State School,Primary,Inner Regional Australia,South East,Gold Coast (C),Currumbin,14786.5,15847.0,93.3,Prep Year,Year 6,Currumbin Valley,4223,163.0,153.394358,-28.206406
892,Dagun State School,2015,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,2400.0,2601.0,92.3,Prep Year,Year 6,Dagun,4570,29.0,152.676942,-26.322032
892,Dagun State School,2016,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,4153.0,4514.0,92.0,Prep Year,Year 6,Dagun,4570,29.0,152.676942,-26.322032
892,Dagun State School,2017,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,3389.5,3642.0,93.1,Prep Year,Year 6,Dagun,4570,29.0,152.676942,-26.322032
892,Dagun State School,2018,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,2748.5,3106.0,88.5,Prep Year,Year 6,Dagun,4570,29.0,152.676942,-26.322032
892,Dagun State School,2019,State School,Primary,Inner Regional Australia,North Coast,Gympie (R),Gympie,2594.5,2982.0,87.0,Prep Year,Year 6,Dagun,4570,29.0,152.676942,-26.322032
1022,Daintree State School,2015,State School,Primary,Outer Regional Australia,Far North Queensland,Douglas (S),Cook,1057.0,1120.0,94.4,Prep Year,Year 6,Daintree,4873,13.0,145.320257,-16.249366
1022,Daintree State School,2016,State School,Primary,Outer Regional Australia,Far North Queensland,Douglas (S),Cook,1190.5,1234.0,96.5,Prep Year,Year 6,Daintree,4873,13.0,145.320257,-16.249366
1022,Daintree State School,2017,State School,Primary,Outer Regional Australia,Far North Queensland,Douglas (S),Cook,1225.5,1312.0,93.4,Prep Year,Year 6,Daintree,4873,13.0,145.320257,-16.249366
1022,Daintree State School,2018,State School,Primary,Outer Regional Australia,Far North Queensland,Douglas (S),Cook,1097.0,1193.0,92.0,Prep Year,Year 6,Daintree,4873,13.0,145.320257,-16.249366
1022,Daintree State School,2019,State School,Primary,Outer Regional Australia,Far North Queensland,Douglas (S),Cook,1183.0,1257.0,94.1,Prep Year,Year 6,Daintree,4873,13.0,145.320257,-16.249366
99,Daisy Hill State School,2015,State School,Primary,Major Cities of Australia,South East,Logan (C),Springwood,16979.5,18623.0,91.2,Prep Year,Year 6,Daisy Hill,4127,322.0,153.153424,-27.643208
99,Daisy Hill State School,2016,State School,Primary,Major Cities of Australia,South East,Logan (C),Springwood,17240.0,18947.0,91.0,Prep Year,Year 6,Daisy Hill,4127,322.0,153.153424,-27.643208
99,Daisy Hill State School,2017,State School,Primary,Major Cities of Australia,South East,Logan (C),Springwood,17792.0,19842.0,89.7,Prep Year,Year 6,Daisy Hill,4127,322.0,153.153424,-27.643208
99,Daisy Hill State School,2018,State School,Primary,Major Cities of Australia,South East,Logan (C),Springwood,23152.0,25847.0,89.6,Prep Year,Year 6,Daisy Hill,4127,322.0,153.153424,-27.643208
99,Daisy Hill State School,2019,State School,Primary,Major Cities of Australia,South East,Logan (C),Springwood,26179.0,29803.0,87.8,Prep Year,Year 6,Daisy Hill,4127,322.0,153.153424,-27.643208
1670,Dajarra State School,2015,State School,Primary,Very Remote Australia,North Queensland,Cloncurry (S),Traeger,2855.0,3298.5,86.6,Early Childhood,Year 6,Dajarra,4825,21.0,139.512232,-21.694604
1670,Dajarra State School,2016,State School,Primary,Very Remote Australia,North Queensland,Cloncurry (S),Traeger,2665.5,3045.0,87.5,Early Childhood,Year 6,Dajarra,4825,21.0,139.512232,-21.694604
1670,Dajarra State School,2017,State School,Primary,Very Remote Australia,North Queensland,Cloncurry (S),Traeger,2101.0,2508.0,83.8,Early Childhood,Year 6,Dajarra,4825,21.0,139.512232,-21.694604
1670,Dajarra State School,2018,State School,Primary,Very Remote Australia,North Queensland,Cloncurry (S),Traeger,1762.0,2066.0,85.3,Early Childhood,Year 6,Dajarra,4825,21.0,139.512232,-21.694604
1670,Dajarra State School,2019,State School,Primary,Very Remote Australia,North Queensland,Cloncurry (S),Traeger,1465.5,1791.0,81.8,Early Childhood,Year 6,Dajarra,4825,21.0,139.512232,-21.694604
2142,Dakabin State High School,2015,State High School,Secondary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,79861.5,91029.0,87.7,Year 7,Year 12,Dakabin,4503,976.0,152.980831,-27.229625
2142,Dakabin State High School,2016,State High School,Secondary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,71425.0,80780.0,88.4,Year 7,Year 12,Dakabin,4503,976.0,152.980831,-27.229625
2142,Dakabin State High School,2017,State High School,Secondary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,70519.5,79828.0,88.3,Year 7,Year 12,Dakabin,4503,976.0,152.980831,-27.229625
2142,Dakabin State High School,2018,State High School,Secondary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,77126.0,90473.5,85.2,Year 7,Year 12,Dakabin,4503,976.0,152.980831,-27.229625
2142,Dakabin State High School,2019,State High School,Secondary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,78176.0,95099.0,82.2,Year 7,Year 12,Dakabin,4503,976.0,152.980831,-27.229625
1988,Dakabin State School,2015,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,42804.0,47041.0,91.0,Prep Year,Year 6,Kallangur,4503,580.0,152.986729,-27.237863
1988,Dakabin State School,2016,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,45682.0,49668.0,92.0,Prep Year,Year 6,Kallangur,4503,580.0,152.986729,-27.237863
1988,Dakabin State School,2017,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,49517.5,54022.0,91.7,Prep Year,Year 6,Kallangur,4503,580.0,152.986729,-27.237863
1988,Dakabin State School,2018,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,52663.0,58297.0,90.3,Prep Year,Year 6,Kallangur,4503,580.0,152.986729,-27.237863
1988,Dakabin State School,2019,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,50285.0,55785.0,90.1,Prep Year,Year 6,Kallangur,4503,580.0,152.986729,-27.237863
671,Dalby South State School,2015,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,62878.0,67485.0,93.2,Early Childhood,Year 6,Dalby,4405,656.0,151.270142,-27.194803
671,Dalby South State School,2016,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,59446.5,64255.0,92.5,Early Childhood,Year 6,Dalby,4405,656.0,151.270142,-27.194803
671,Dalby South State School,2017,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,57824.0,62564.0,92.4,Early Childhood,Year 6,Dalby,4405,656.0,151.270142,-27.194803
671,Dalby South State School,2018,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,56310.0,60934.5,92.4,Early Childhood,Year 6,Dalby,4405,656.0,151.270142,-27.194803
671,Dalby South State School,2019,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,55034.5,59922.5,91.8,Early Childhood,Year 6,Dalby,4405,656.0,151.270142,-27.194803
2033,Dalby State High School,2015,State High School,Secondary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,87585.0,98262.0,89.1,Year 7,Year 12,Dalby,4405,987.0,151.25951,-27.17815
2033,Dalby State High School,2016,State High School,Secondary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,87306.0,98349.0,88.8,Year 7,Year 12,Dalby,4405,987.0,151.25951,-27.17815
2033,Dalby State High School,2017,State High School,Secondary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,87611.5,99785.5,87.8,Year 7,Year 12,Dalby,4405,987.0,151.25951,-27.17815
2033,Dalby State High School,2018,State High School,Secondary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,89578.5,102000.0,87.8,Year 7,Year 12,Dalby,4405,987.0,151.25951,-27.17815
2033,Dalby State High School,2019,State High School,Secondary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,83265.5,95689.0,87.0,Year 7,Year 12,Dalby,4405,987.0,151.25951,-27.17815
28,Dalby State School,2015,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,46418.5,50427.5,92.0,Prep Year,Year 6,Dalby,4405,635.0,151.262317,-27.184652
28,Dalby State School,2016,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,48313.0,52311.0,92.4,Prep Year,Year 6,Dalby,4405,635.0,151.262317,-27.184652
28,Dalby State School,2017,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,49144.5,53909.5,91.2,Prep Year,Year 6,Dalby,4405,635.0,151.262317,-27.184652
28,Dalby State School,2018,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,56438.0,61389.0,91.9,Prep Year,Year 6,Dalby,4405,635.0,151.262317,-27.184652
28,Dalby State School,2019,State School,Primary,Inner Regional Australia,Darling Downs South West,Western Downs (R),Warrego,56332.0,61707.0,91.3,Prep Year,Year 6,Dalby,4405,635.0,151.262317,-27.184652
950,Dallarnil State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,2953.5,3091.0,95.6,Prep Year,Year 6,Dallarnil,4621,30.0,152.045632,-25.383928
950,Dallarnil State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,2484.0,2631.0,94.4,Prep Year,Year 6,Dallarnil,4621,30.0,152.045632,-25.383928
950,Dallarnil State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,2268.5,2334.0,97.2,Prep Year,Year 6,Dallarnil,4621,30.0,152.045632,-25.383928
950,Dallarnil State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,3209.0,3386.0,94.8,Prep Year,Year 6,Dallarnil,4621,30.0,152.045632,-25.383928
950,Dallarnil State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,North Burnett (R),Callide,2914.5,3059.0,95.3,Prep Year,Year 6,Dallarnil,4621,30.0,152.045632,-25.383928
318,Dalveen State School,2015,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,1114.0,1150.0,96.9,Prep Year,Year 6,Dalveen,4374,9.0,151.973538,-28.489817
318,Dalveen State School,2016,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,763.0,860.0,88.7,Prep Year,Year 6,Dalveen,4374,9.0,151.973538,-28.489817
318,Dalveen State School,2017,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,886.0,945.5,93.7,Prep Year,Year 6,Dalveen,4374,9.0,151.973538,-28.489817
318,Dalveen State School,2018,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,1430.5,1562.0,91.6,Prep Year,Year 6,Dalveen,4374,9.0,151.973538,-28.489817
318,Dalveen State School,2019,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,1102.0,1166.0,94.5,Prep Year,Year 6,Dalveen,4374,9.0,151.973538,-28.489817
1900,Darling Heights State School,2015,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Toowoomba South,57180.0,61254.0,93.3,Prep Year,Year 6,Darling Heights,4350,658.0,151.932316,-27.597434
1900,Darling Heights State School,2016,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Toowoomba South,56589.5,60418.0,93.7,Prep Year,Year 6,Darling Heights,4350,658.0,151.932316,-27.597434
1900,Darling Heights State School,2017,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Toowoomba South,59149.5,65396.0,90.4,Prep Year,Year 6,Darling Heights,4350,658.0,151.932316,-27.597434
1900,Darling Heights State School,2018,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Toowoomba South,60288.0,65762.5,91.7,Prep Year,Year 6,Darling Heights,4350,658.0,151.932316,-27.597434
1900,Darling Heights State School,2019,State School,Primary,Inner Regional Australia,Darling Downs South West,Toowoomba (R),Toowoomba South,55865.0,60501.0,92.3,Prep Year,Year 6,Darling Heights,4350,658.0,151.932316,-27.597434
3025,Darling Point Special School,2015,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,9751.0,11190.0,87.1,Prep Year,Year 12,Manly,4179,117.0,153.186878,-27.447843
3025,Darling Point Special School,2016,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,11490.5,12095.0,95.0,Prep Year,Year 12,Manly,4179,117.0,153.186878,-27.447843
3025,Darling Point Special School,2017,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,10216.0,11764.0,86.8,Prep Year,Year 12,Manly,4179,117.0,153.186878,-27.447843
3025,Darling Point Special School,2018,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,10142.5,12000.0,84.5,Prep Year,Year 12,Manly,4179,117.0,153.186878,-27.447843
3025,Darling Point Special School,2019,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,9789.0,11359.0,86.2,Prep Year,Year 12,Manly,4179,117.0,153.186878,-27.447843
520,Darlington State School,2015,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,1857.5,2017.0,92.1,Prep Year,Year 6,Darlington,4285,28.0,153.040068,-28.205645
520,Darlington State School,2016,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,2437.0,2565.0,95.0,Prep Year,Year 6,Darlington,4285,28.0,153.040068,-28.205645
520,Darlington State School,2017,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,2588.5,2728.0,94.9,Prep Year,Year 6,Darlington,4285,28.0,153.040068,-28.205645
520,Darlington State School,2018,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,2819.5,3029.0,93.1,Prep Year,Year 6,Darlington,4285,28.0,153.040068,-28.205645
520,Darlington State School,2019,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,2907.0,3140.0,92.6,Prep Year,Year 6,Darlington,4285,28.0,153.040068,-28.205645
1520,Darra State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mount Ommaney,15854.0,16997.0,93.3,Prep Year,Year 6,Darra,4076,213.0,152.953431,-27.570541
1520,Darra State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mount Ommaney,17460.0,18721.0,93.3,Prep Year,Year 6,Darra,4076,213.0,152.953431,-27.570541
1520,Darra State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mount Ommaney,17575.0,18772.0,93.6,Prep Year,Year 6,Darra,4076,213.0,152.953431,-27.570541
1520,Darra State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mount Ommaney,17362.5,18789.0,92.4,Prep Year,Year 6,Darra,4076,213.0,152.953431,-27.570541
1520,Darra State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mount Ommaney,17997.0,19634.0,91.7,Prep Year,Year 6,Darra,4076,213.0,152.953431,-27.570541
191,Dayboro State School,2015,State School,Primary,Inner Regional Australia,North Coast,Moreton Bay (R),Pine Rivers,31864.0,34113.0,93.4,Prep Year,Year 6,Dayboro,4521,356.0,152.820394,-27.194102
191,Dayboro State School,2016,State School,Primary,Inner Regional Australia,North Coast,Moreton Bay (R),Pine Rivers,32943.5,34825.0,94.6,Prep Year,Year 6,Dayboro,4521,356.0,152.820394,-27.194102
191,Dayboro State School,2017,State School,Primary,Inner Regional Australia,North Coast,Moreton Bay (R),Pine Rivers,33103.5,35120.0,94.3,Prep Year,Year 6,Dayboro,4521,356.0,152.820394,-27.194102
191,Dayboro State School,2018,State School,Primary,Inner Regional Australia,North Coast,Moreton Bay (R),Pine Rivers,34483.0,36692.0,94.0,Prep Year,Year 6,Dayboro,4521,356.0,152.820394,-27.194102
191,Dayboro State School,2019,State School,Primary,Inner Regional Australia,North Coast,Moreton Bay (R),Pine Rivers,31976.5,34192.0,93.5,Prep Year,Year 6,Dayboro,4521,356.0,152.820394,-27.194102
1884,Deception Bay North State School,2015,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Bancroft,46873.5,53097.0,88.3,Early Childhood,Year 6,Deception Bay,4508,456.0,153.01659,-27.181171
1884,Deception Bay North State School,2016,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Bancroft,46133.0,52550.0,87.8,Early Childhood,Year 6,Deception Bay,4508,456.0,153.01659,-27.181171
1884,Deception Bay North State School,2017,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Bancroft,43810.5,50166.0,87.3,Early Childhood,Year 6,Deception Bay,4508,456.0,153.01659,-27.181171
1884,Deception Bay North State School,2018,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Bancroft,39950.0,46607.0,85.7,Early Childhood,Year 6,Deception Bay,4508,456.0,153.01659,-27.181171
1884,Deception Bay North State School,2019,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Bancroft,35478.5,41056.0,86.4,Early Childhood,Year 6,Deception Bay,4508,456.0,153.01659,-27.181171
2107,Deception Bay State High School,2015,State High School,Secondary,Major Cities of Australia,North Coast,Moreton Bay (R),Bancroft,67126.0,77734.0,86.4,Year 7,Year 12,Deception Bay,4508,1120.0,153.0305,-27.199998
2107,Deception Bay State High School,2016,State High School,Secondary,Major Cities of Australia,North Coast,Moreton Bay (R),Bancroft,73040.5,82265.5,88.8,Year 7,Year 12,Deception Bay,4508,1120.0,153.0305,-27.199998
